Transaction_Number,Start_Time,End_Time
1,2019-09-24 17:05:56,2019-09-24 17:05:59
2,2019-09-24 17:21:11,2019-09-24 17:21:15
3,2019-09-24 18:31:28,2019-09-24 18:31:34
4,2019-09-24 18:45:56,2019-09-24 18:46:01
5,2019-09-24 19:06:49,2019-09-24 19:06:52
6,2019-09-24 19:18:50,2019-09-24 19:18:54
7,2019-09-24 19:42:56,2019-09-24 19:43:01
8,2019-09-24 20:09:46,2019-09-24 20:09:51
9,2019-09-24 20:30:02,2019-09-24 20:30:07
10,2019-09-24 21:41:35,2019-09-24 21:41:39
11,2019-09-24 21:57:01,2019-09-24 21:57:08
12,2019-09-24 22:21:14,2019-09-24 22:21:18
13,2019-09-24 22:41:21,2019-09-24 22:41:27
14,2019-09-24 23:31:20,2019-09-24 23:31:25
